Row Id,Territory ID,Year,X,Y,CLC2012,Pop_den,HFP,Dist_settl,Dist_roads
216,KHB,2015,4659514.551,3128397.352,102.7405658,143.6551981,20.16705613,256.7822304,302.4127181
217,KN,2015,4622327.639,3152986.754,104.2067645,246.0670977,15.87764238,218.2652574,335.3177816
221,RT,2015,4621696.559,3138980.943,103.0928532,72.20460536,16.19873676,237.5431442,262.3232208
227,KRH,2015,4500434.303,3338107.539,104.2700995,11.51721393,6.343432836,506.4330348,840.8493532
228,BE,2015,4307169.522,3301196.863,104.5706754,12.16830797,9.473838655,358.4431016,489.9685169
229,HW,2015,4621272.359,3114443.072,103.3545097,161.1074076,17.74593304,166.52674,285.3906771
230,GKL,2015,4491407.72,3214894.351,103.583992,15.16649267,9.146109868,515.046781,648.4724832
231,GA,2015,4420630.053,3319320.144,103.6151283,16.13676149,6.690073603,321.8430475,579.8699025
232,CLH,2015,4426701.805,3266131.754,104.3704735,26.34674692,10.85918225,359.6422602,508.6656884
233,CUX,2015,4253580.8,3393759.019,103.9944787,28.81327099,8.170961003,270.2635296,473.0026363
234,BA,2015,4583612.336,3181901.746,103.5276424,33.68424978,13.34279606,233.7185542,371.9133439
235,TL,2015,4634725.432,3193836.837,104.2346066,114.0983786,18.3992838,223.0337213,568.5659007
236,GR,2015,4600893.07,3176969.582,103.676317,82.01213749,16.24802268,152.8073422,347.1369447
237,FHB,2015,4562491.601,3190281.605,103.7474642,14.95415672,10.70624503,613.4155728,589.6414578
238,WIS,2015,4629941.793,3227618.044,103.5814601,19.8918341,8.516958425,673.2110603,436.3858663
239,ZIH,2015,4406044.432,3277118.472,103.2487815,38.69317617,8.45016413,488.0820651,740.8330847
240,GZ,2015,4487429.43,3236048.713,103.567881,20.7337016,8.247884941,310.1091868,417.5646959
241,LH,2015,4595420.243,3129806.613,103.1310791,134.3548981,21.09960219,248.3763302,196.6381402
242,ES,2015,4335349.815,3295634.426,103.7850779,25.52625554,10.02354288,580.9307152,1027.804987
243,GLH,2015,4527425.961,3200425.349,103.2898126,26.61462736,10.79560483,481.3263064,474.8296624
244,HO,2015,4626349.107,3181680.279,103.5281245,78.75670165,16.99174417,157.6073507,388.6254041
245,OH,2015,4484561.106,3187644.98,103.5939397,130.8149567,16.61185193,293.6682755,474.2411185
246,GRH,2015,4579983.444,3165411.798,104.1604674,114.4781701,15.94485331,263.7270015,489.2253605
247,RU,2015,4584662.444,3151936.412,103.3299189,104.3089851,17.99298891,235.4976878,284.0131271
248,HF,2015,4480168.045,3215871.079,103.5655265,22.1442279,9.133538829,412.8777468,626.8632793
249,BK,2015,4634068.219,3210645.736,103.7986367,28.2329585,13.0208976,196.9327296,470.9227784
252,CO,2015,4491496.952,3205422.23,103.3999503,91.20890104,13.53097961,384.7126803,410.5013923
253,OHR,2015,4375536.911,3079629.971,103.7079272,109.5014422,18.29361448,259.4120251,199.6380545
254,GOE,2015,4377350.559,3333619.093,103.3310623,22.54137657,11.84150587,797.547593,396.0959817
255,GH,2015,4550915.79,3150228.012,103.3285416,57.31103263,15.28203343,325.3865897,351.9914942
